id,condition,timeRange,location,average
988388,windy,night,New York,14
988389,sunny,morning,New York,12
988390,rainy,night,Sydney,16
988391,windy,evening,London,28
988392,rainy,morning,Berlin,26
988393,cloudy,afternoon,Paris,22
988394,snowy,morning,Paris,21
988395,snowy,night,Paris,19
988396,windy,afternoon,Paris,10
988397,sunny,evening,Berlin,25
988398,rainy,night,Sydney,12
988399,windy,morning,Tokyo,27
988400,sunny,afternoon,Paris,11
988401,stormy,evening,Tokyo,27
988402,stormy,night,Tokyo,16
988403,stormy,afternoon,Berlin,25
988404,windy,night,Tokyo,23
988405,snowy,morning,Paris,23
988406,rainy,evening,Sydney,29
988407,windy,morning,Paris,29
988408,cloudy,night,Paris,20
988409,windy,evening,Sydney,17
988410,rainy,morning,Berlin,29
988411,rainy,afternoon,Berlin,26
988412,snowy,afternoon,Paris,25
988413,snowy,evening,New York,14
988414,snowy,morning,Tokyo,14
988415,windy,morning,Sydney,13
988416,rainy,morning,New York,26
988417,rainy,night,Sydney,22
988418,sunny,morning,Paris,10
988419,sunny,afternoon,London,15
988420,snowy,afternoon,London,14
988421,snowy,night,New York,23
988422,stormy,morning,London,18
988423,cloudy,afternoon,Berlin,16
988424,cloudy,morning,Paris,16
988425,stormy,evening,Tokyo,17
988426,windy,night,Paris,19
988427,snowy,night,London,17
988428,rainy,afternoon,Berlin,21
988429,sunny,evening,London,18
988430,cloudy,night,Paris,18
988431,windy,evening,London,24
988432,rainy,afternoon,New York,25
988433,snowy,night,Sydney,10
988434,cloudy,morning,Paris,23
988435,stormy,night,Sydney,12
988436,stormy,night,Sydney,13
988437,cloudy,evening,New York,11
988438,sunny,morning,Paris,26
988439,sunny,morning,Tokyo,27
988440,rainy,night,Tokyo,10
988441,sunny,morning,Sydney,12
988442,rainy,night,Tokyo,23
988443,sunny,evening,London,16
988444,windy,night,Sydney,10
988445,windy,morning,London,17
988446,rainy,morning,Sydney,29
988447,cloudy,morning,Paris,13
988448,rainy,evening,Sydney,17
988449,sunny,night,Berlin,20
988450,snowy,morning,London,18
988451,rainy,night,Sydney,25
988452,rainy,night,Paris,27
988453,stormy,night,New York,10
988454,rainy,night,Berlin,28
988455,snowy,morning,New York,20
988456,cloudy,evening,Sydney,15
988457,windy,evening,London,14
988458,cloudy,evening,New York,19
988459,windy,morning,Berlin,15
988460,sunny,evening,Tokyo,19
988461,windy,morning,Tokyo,11
988462,windy,night,Paris,24
988463,cloudy,afternoon,Sydney,10
988464,cloudy,morning,Berlin,24
988465,stormy,morning,Tokyo,23
988466,windy,morning,Berlin,12
988467,windy,night,Tokyo,26
988468,sunny,morning,Paris,20
988469,snowy,night,New York,21
988470,snowy,morning,Sydney,25
988471,windy,morning,Paris,27
988472,rainy,night,Berlin,18
988473,rainy,evening,Paris,19
988474,windy,evening,New York,23
988475,cloudy,afternoon,Sydney,13
988476,stormy,afternoon,Paris,19
988477,sunny,morning,New York,28
988478,windy,afternoon,New York,22
988479,stormy,morning,Paris,20
